Rank,Fighter,Current_Rating,Peak_Rating,RD,Volatility,Fights,Wins,Losses,Draws,Weight_Class,Last_Fight
87,Diego Lopes,1769.6,1796.7,110.3,0.06,9,6,3,0,Featherweight,"January 31, 2026"
88,Gilbert Burns,1769.2,1840.1,79.6,0.06,24,15,9,0,Welterweight,"May 17, 2025"
89,Arman Tsarukyan,1766.6,1844.3,109.3,0.06,12,10,2,0,Lightweight,"November 22, 2025"
90,Fares Ziam,1764.9,1764.9,108.6,0.06,10,8,1,1,Lightweight,"December 06, 2025"
91,Vicente Luque,1764.8,1871.3,85.2,0.06,24,16,8,0,Welterweight,"October 11, 2025"
92,Tim Sylvia,1764.4,1822.1,100.4,0.06,13,9,4,0,Heavyweight,"February 02, 2008"
93,TJ Grant,1763.6,1763.6,103.3,0.06,11,8,3,0,Lightweight,"May 25, 2013"
94,Jailton Almeida,1761.6,1838.0,103.9,0.06,11,8,3,0,Heavyweight,"February 07, 2026"
95,Demian Maia,1761.1,1880.5,83.5,0.06,33,22,11,0,Welterweight,"June 12, 2021"
96,Benoit Saint Denis,1759.1,1759.1,100.2,0.06,12,9,3,0,Lightweight,"January 31, 2026"
97,Kevin Vallejos,1757.0,1757.0,137.7,0.06,4,4,0,0,Featherweight,"March 14, 2026"
98,Mike Malott,1756.2,1756.2,119.0,0.06,7,6,1,0,Welterweight,"October 18, 2025"
99,Jacqueline Cavalcanti,1756.0,1756.0,135.1,0.06,5,5,0,0,Women's Bantamweight,"November 08, 2025"
100,John Lineker,1754.2,1774.5,91.9,0.06,16,12,4,0,Bantamweight,"April 27, 2019"
101,Rashid Magomedov,1754.1,1776.8,125.3,0.06,6,5,1,0,Lightweight,"April 15, 2017"
102,Pat Sabatini,1753.8,1753.8,109.1,0.06,10,8,2,0,Featherweight,"November 15, 2025"
103,Jairzinho Rozenstruik,1753.4,1827.9,92.0,0.06,15,9,5,1,Heavyweight,"February 01, 2025"
104,Mark Kerr,1752.2,1752.2,145.7,0.06,4,4,0,0,Heavyweight,"October 17, 1997"
105,Cristiane Justino,1751.6,1782.7,125.3,0.06,7,6,1,0,Women's Featherweight,"July 27, 2019"
106,Quillan Salkilld,1749.9,1749.9,140.5,0.06,4,4,0,0,Lightweight,"January 31, 2026"
107,Daniel Rodriguez,1749.2,1800.8,100.0,0.06,14,10,4,0,Welterweight,"July 19, 2025"
108,Dong Hyun Kim,1747.7,1792.3,95.6,0.06,18,13,4,1,Welterweight,"June 17, 2017"
